Model,MAE,MSE,RMSE,R2
XGBoost,2720487.0,29872835526656.0,5465604.77226958,0.8619562387466431
Gradient Boosting,2597797.3287101556,31152177102649.387,5581413.539834634,0.8560443325235232
CatBoost,2756145.399113462,32238623407894.31,5677906.6043652315,0.8510238133304815
Random Forest,3478811.651874742,46983384846408.984,6854442.708667787,0.7828875810643173
Decision Tree,4211342.4185463665,76576450866449.77,8750797.156056685,0.6461366388250955
Linear Regression,5541377.927953551,86674486859375.11,9309913.364762055,0.5994731421849385
